spikerate ITI cue push reward
0.132468528136087 1 0 0 0
0.143694784128456 1 0 0 0
0.0680296230939348 1 0 0 0
0.0543172473044251 1 0 0 0
0.00612209532846464 1 0 0 0
0.0100938600553491 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0.0754785701246874 1 0 0 0
0.166477957918687 1 0 0 0
0.160739429702517 1 0 0 0
0.166777474078117 1 0 0 0
0.143740558087302 1 0 0 0
0.228346371841326 1 0 0 0
0.0768159061408369 1 0 0 0
0.0643917828710983 1 0 0 0
0.102285670436686 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0.00290102252620272 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0.00623533878751914 1 0 0 0
0.0538308631803375 1 0 0 0
0.0825950017429022 1 0 0 0
0.04244036927048 1 0 0 0
0.011350308341207 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0.297184702503728 1 0 0 0
1.86423104605637 1 0 0 0
6.22144562657923 1 0 0 0
12.8998293075711 1 0 0 0
17.6218450069427 1 0 0 0
17.4788965377957 1 0 0 0
15.0540894828737 1 0 0 0
10.8401145553216 1 0 0 0
7.75200279895216 1 0 0 0
5.44663454638794 1 0 0 0
3.90611833427101 1 0 0 0
1.98487562010996 1 0 0 0
1.26268561871257 1 0 0 0
0.900827522855252 1 0 0 0
0.587380680372007 1 0 0 0
0.343591585988179 1 0 0 0
0.329428485542849 1 0 0 0
0.216265262451998 1 0 0 0
0.0733161823518458 1 0 0 0
0.0181027680810075 0 1 0 0
0.0238475831793039 0 0 0 0
0.0405835453420877 0 0 0 0
0.020312985725468 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0.0133665257635585 0 0 0 0
0.000614487362327054 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0.0474204766760522 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0.0365037476512953 0 0 0 0
0 0 0 0 0
0.0239844421230373 0 0 0 0
0 0 0 0 0
0.023071795112628 0 0 0 0
0 0 0 0 0
0.0528845002918388 0 0 0 0
0.0773227329773363 0 0 0 0
0.0581933173862126 0 0 0 0
0.0209512656965671 0 0 0 0
0.0712769126494095 0 0 0 0
0.0811161498859292 0 0 0 0
0 0 0 0 0
0.0426078233317639 0 0 0 0
0.0350721193171921 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0.0281888985682599 0 0 0 0
0 0 0 0 0
