spikerate ITI cue push reward
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0.0461696135971579 1 0 0 0
0.176358940734644 1 0 0 0
0 1 0 0 0
0.404140882892534 1 0 0 0
0.32620775164105 1 0 0 0
0.480843184050173 1 0 0 0
0.704545022017555 1 0 0 0
0.513037239215919 1 0 0 0
0 1 0 0 0
0.0198573179659434 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0.0383598726330092 1 0 0 0
0.0769478738220641 1 0 0 0
0.0249537160925684 1 0 0 0
0.100449000456138 1 0 0 0
0.105109626929334 1 0 0 0
0.112562582216924 1 0 0 0
0.198279273945445 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0.195581516891252 1 0 0 0
0.365106971003115 1 0 0 0
0.437136155596818 1 0 0 0
0.326660866448947 1 0 0 0
0.603894198320631 1 0 0 0
0.391757952456828 1 0 0 0
0.448714665253647 1 0 0 0
1.28640024195192 1 0 0 0
3.87502205558121 1 0 0 0
6.71188783599064 1 0 0 0
9.85650159418583 1 0 0 0
10.8431365806609 1 0 0 0
16.1873411852866 1 0 0 0
20.6235023215413 1 0 0 0
26.125664357096 1 0 0 0
30.8915954083204 1 0 0 0
31.4370873384178 1 0 0 0
30.0006866455078 1 0 0 0
24.5374501682818 1 0 0 0
