spikerate ITI cue push reward
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0.115401339826349 1 0 0 0
0.0462872917523782 1 0 0 0
0.230954536164063 1 0 0 0
0.167078286722244 1 0 0 0
0.124425067497214 1 0 0 0
0.141779290061095 1 0 0 0
0 1 0 0 0
0.0134088618324313 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0.171152086863913 1 0 0 0
0.301608529071018 1 0 0 0
0.593284705246333 1 0 0 0
0.479617478049477 1 0 0 0
0.726495505659841 1 0 0 0
0.822082212835085 1 0 0 0
0.846284892759286 1 0 0 0
0.623493033344857 1 0 0 0
0.67596116423374 1 0 0 0
0.580438580072951 1 0 0 0
0.538037958904169 1 0 0 0
0.65452913986519 1 0 0 0
0.510925532580586 1 0 0 0
0.492568455229048 1 0 0 0
0.411833731050137 1 0 0 0
0.444343757408205 1 0 0 0
0.385064673537272 1 0 0 0
0.358846500603249 1 0 0 0
0.151861407630349 1 0 0 0
0.209904506846215 1 0 0 0
0.107968784504919 1 0 0 0
0.0897387521945348 1 0 0 0
0.185719874025381 1 0 0 0
0.237324498812086 1 0 0 0
0.302852506138152 1 0 0 0
0.308499487800873 1 0 0 0
