spikerate ITI cue push reward
0.0495904102990607 1 0 0 0
0.0186577435670188 1 0 0 0
0.0223488530650684 1 0 0 0
0.0517867474627565 1 0 0 0
0.0974120548562496 1 0 0 0
0.0282294581666065 1 0 0 0
0.0455366903224785 1 0 0 0
0.0201279754037387 1 0 0 0
0.126195932352857 1 0 0 0
0.0302537773677614 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0.142607835755371 1 0 0 0
0.248298878432252 1 0 0 0
0.155591445945902 1 0 0 0
0.352275419572834 1 0 0 0
0.471093331043448 1 0 0 0
0.298325154290069 1 0 0 0
0.398005214037767 1 0 0 0
0.6895007318235 1 0 0 0
2.6152761420235 1 0 0 0
5.98693534266204 1 0 0 0
11.0919568687677 1 0 0 0
15.7514573074877 1 0 0 0
19.0733287017792 1 0 0 0
20.5262843519449 1 0 0 0
19.2473491188139 1 0 0 0
17.0905641280115 1 0 0 0
14.0227933879942 1 0 0 0
10.7672580052167 1 0 0 0
7.41422432474792 1 0 0 0
4.77370154112577 1 0 0 0
3.65371425868943 1 0 0 0
2.41189025109634 1 0 0 0
1.44597954931669 1 0 0 0
0.636773100268329 1 0 0 0
0.351458316799835 1 0 0 0
0.266169668066141 1 0 0 0
0.263601534811642 1 0 0 0
0.275765543847228 1 0 0 0
0.165689829714211 1 0 0 0
0.182191701242118 1 0 0 0
0.186602866961039 1 0 0 0
0.12027844786644 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0.0854372997309838 1 0 0 0
0.0365912922006828 1 0 0 0
0.13677281958735 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0.0030475712264888 1 0 0 0
0 1 0 0 0
0.0305686680803774 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0.00374288993043592 1 0 0 0
0.0551829562027706 1 0 0 0
0.108439518953674 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0.0130955113490927 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0.0126516424643341 1 0 0 0
0.061413457387971 1 0 0 0
0.0734358090994647 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0.0205304859264288 1 0 0 0
0.189500435226364 1 0 0 0
0.372779095869191 1 0 0 0
0.507046794155031 1 0 0 0
0.66705722417737 1 0 0 0
1.13408778270241 0 1 0 0
1.80831385659985 0 0 0 0
2.76709444005974 0 0 0 0
4.19799529481679 0 0 0 0
6.44853059202433 0 0 0 0
8.61121597699821 0 0 0 0
10.839925846085 0 0 0 0
11.9591900147498 0 0 0 0
12.3118481133133 0 0 0 0
11.600902536884 0 0 0 0
10.0182249443606 0 0 0 0
8.64499295130372 0 0 0 0
7.16592581011355 0 0 0 0
5.8226091787219 0 0 0 0
4.88472142023966 0 0 0 0
4.38033015234396 0 0 0 0
4.21496812487021 0 0 0 0
4.25934698432684 0 0 0 0
3.81790735991672 0 0 0 0
3.73867724556476 0 0 0 0
3.27618489973247 0 0 0 0
2.80171397025697 0 0 0 0
2.4763825640548 0 0 0 0
2.49890665872954 0 0 0 0
2.53992609214038 0 0 0 0
2.25824600784108 0 0 0 0
2.06851080292836 0 0 0 0
1.83707091491669 0 0 0 0
1.65966432541609 0 0 0 0
1.46794985630549 0 0 0 0
1.21478221262805 0 0 0 0
1.00576942350017 0 0 0 0
0.809756238595583 0 0 0 0
0.656147029076237 0 0 0 0
0.518513566930778 0 0 0 0
0.368642580724554 0 0 0 0
0.313867443765048 0 0 0 0
0.210073268135602 0 0 0 0
0.174865914232214 0 0 0 0
0.0837577072161366 0 0 0 0
0.187359889423533 0 0 0 0
0.0809204721008427 0 0 0 0
0.196580631381948 0 0 0 0
0.258989441505264 0 0 0 0
0.505949839862296 0 0 0 0
0.553647005290259 0 0 0 0
0.874241217388771 0 0 0 0
0.87059289944591 0 0 0 0
1.00680251489393 0 0 0 0
0.800903828348964 0 0 0 0
0.743406919355039 0 0 0 0
0.509112654981436 0 0 0 0
0.450139537861105 0 0 0 0
0.159970531058207 0 0 0 0
0.0455006038464489 0 0 0 0
0.0977681502263295 0 0 0 0
0.00969976963460795 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0.0938251632760512 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0.00137360893859295 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 1
0 0 0 0 1
0 0 0 0 1
0 0 0 0 1
0 0 0 0 1
0 0 0 0 1
0 0 0 0 1
0 0 0 0 1
0 0 0 0 1
